,gene_index,gene_names,probability_change
228,228,ZNRF3,115.8873992369608
229,229,ITPR1,116.21769352832786
230,230,APOBEC3G,117.47571048633489
231,231,IGLL5.....IGLV2.11,107.16492029630656
232,232,KRT8,111.09259157232893
233,233,ARHGAP18,108.59092622256934
234,234,IL7R,113.07278160184305
235,235,KYNU,111.06802861627762
236,236,RAB23,107.34139965343797
237,237,PCDHB2,109.50099172266657
238,238,GPM6B,112.39348323662077
239,239,EPB41,111.69524163101077
240,240,ZIC3,114.33921839651622
241,241,NPTX1,112.42616216553145
242,242,MGC87042,113.14741814960618
243,243,C5AR1,117.04098427165222
244,244,SGK1,111.64470946030241
245,245,AGTR1,111.93376733476876
246,246,C19orf46,112.23109744671657
247,247,STC1,112.27255979091939
248,248,LOC401022,112.77596857842725
249,249,TPM2,111.85778739106833
250,250,SYNGR3,113.60814347168761
251,251,NEIL3,114.59207073765886
252,252,STC2,114.17928405521143
253,253,ENTPD1,115.34316940170056
254,254,MGC70870,114.68533924063621
255,255,GDF3,115.79890681755172
256,256,ASGR1,123.00447732631625
257,257,COL6A2,124.99908338218862
258,258,ZFX.....ZFY,115.1553565280523
259,259,ZNF167,114.46521918816222
260,260,AGR2,111.18453857101635
261,261,LOXL1,118.207362433047
262,262,PSG9,116.86445794005958
263,263,ZNF880,113.32421349085438
264,264,TSPYL5,120.16826166531891
265,265,CCL4,118.93908132311336
266,266,C4orf49,108.9647548011851
267,267,HHEX,113.80488588283778
268,268,IQGAP2,116.16789078787274
269,269,KIAA0319L,120.69825170335073
270,270,CDS1,119.67332319978999
271,271,KIAA1462,126.47870117323882
272,272,ZNF649,109.84493550303372
273,273,CLDN7,109.07680249663152
274,274,PRAME,109.28378935271644
275,275,GPR143,106.07488458106295
276,276,BHMT2,105.90634578854565
277,277,GPNMB,104.96697018582066
278,278,KIAA1598,109.12673322403067
279,279,CXorf65,110.44707579234823
280,280,GZMB,112.9607285369799
281,281,SRPX2,116.29601985619247
282,282,TSPAN1,117.80889321199516
283,283,AXL,119.02929196765896
284,284,AKR1B10,118.11082944335116
285,285,HBA1.....HBA2,116.75871951027068
286,286,KRT34,112.79854725693353
287,287,INPP5D,110.12481827427413
288,288,HOXB2,109.30305435966697
289,289,KIF21B,110.68950609627076
