,gene_names,weighted_max,weighted_sum
201,RNF128,0.054645784,11.37157059
202,ZNF548,0.034680877,-19.34816551
203,CFH /// CFHR1,0.062564231,-6.327824593
204,RGS4,0.046636406,-8.2981987
205,LAMA4,0.05136513,-1.74233675
206,DKK3,0.062491667,-2.953168631
207,ESRP1,0.072767958,2.051585197
208,CXCR4,0.079308905,-15.00174618
209,SNCA,0.055967148,-14.85801792
210,GATA3,0.086492896,14.32551384
211,GPM6B,0.053634614,-10.66936493
212,KDM5D,0.080460981,-8.073965073
213,CD53,0.049993582,-15.45106602
214,FCER1G,0.059638899,11.42484474
215,MYOF,0.043400645,-13.867239
216,IGFBP1,0.055142324,11.92242527
217,SELL,0.047477789,-5.540592194
218,COL15A1,0.04731239,6.98595047
219,TAGLN,0.05148682,-11.35968208
220,CLU,0.045698736,-13.00961113
221,TNFSF10,0.042904206,-8.302735329
222,SERPINA3,0.048739586,1.400983453
223,RND3,0.051598463,-12.82709694
224,ITGB2,0.055295274,-1.16381371
225,RAB25,0.063465729,3.861257553
226,RTN1,0.072930798,6.497475624
227,SPOCK1,0.047852594,-10.80851173
228,CNRIP1,0.052805554,-2.480772018
229,FOXG1,0.05114042,7.952856064
230,LY75,0.057895597,-5.455939293
231,RASGRP1,0.070497461,-0.160138488
232,G0S2,0.049150433,-14.56766415
233,GPX8,0.048878867,-11.96043015
234,RGS1,0.062348925,10.5364418
235,WNT5A,0.053938184,-4.740062714
236,S100A2,0.053808175,-6.857743263
237,PRSS23,0.044799536,-13.73536301
238,NTN4,0.060296621,-11.48325634
239,ASPM,0.049243901,-9.187129021
240,GABBR2,0.053120524,12.7466383
241,KRT6A,0.060260788,12.70811081
242,GALNT3,0.05020972,-12.10453796
243,RCSD1,0.049609575,0.82336843
244,ISG20,0.054251418,-11.13253784
245,GPR183,0.061917763,1.000123382
246,HPGD,0.062244568,11.69802284
247,ELTD1,0.077990584,13.10127449
248,IFI16,0.041315362,-13.18241882
249,BASP1,0.058121767,-14.06442642
250,PROM1,0.060744397,6.358818054
251,PRKCB,0.059365477,-1.629014492
252,PPAP2B,0.051181715,-8.710523605
253,RRM2,0.043393858,-10.76179314
254,AMIGO2,0.053338014,-15.12109375
255,MMP3,0.068275809,13.83917427
256,TIMP3,0.046434801,-13.67532158
257,SULF2,0.04818356,-12.28719521
258,SRPX,0.050914094,-8.687160492
259,LOX,0.050123062,-2.495334864
260,LY96,0.060388517,-3.852829218
261,PTPRZ1,0.047064934,7.719109058
262,GPX3,0.040593822,-11.89202881
263,HOXA10 /// HOXA9,0.072097562,6.688522339
264,LDB2,0.091049552,-2.193072796
265,S100A12,0.061327014,8.594173431
266,EBF1,0.049111441,-2.651844978
267,IL1R1,0.044022392,-12.74684238
268,CTSS,0.048611771,1.931234598
269,DOCK8,0.055491973,-1.580478668
270,CPVL,0.065533735,-10.94808769
271,CAV2,0.048290212,-9.519195557
272,LGALS1,0.045593102,-13.75754929
273,PTGS2,0.069845371,12.9067421
274,TMEM176B,0.057936437,-0.085934438
275,COX7A1,0.060300011,-1.72342813
276,SPINT2,0.049197201,-12.26192284
277,NEFM,0.078677185,6.407375336
278,VCAM1,0.053500757,-5.65103817
279,LOXL1,0.049384318,-15.6117363
280,KRT17,0.054960854,5.109488964
281,TSTD1,0.072832175,-15.04144478
282,APOC1,0.052769989,-16.31817627
283,LPL,0.05854838,6.877427101
284,LIN28B,0.052980009,9.692883492
285,IGF2 /// INS-IGF2,0.043693103,-14.94960785
286,CPE,0.03651974,-17.62757492
287,SERPINE2,0.056734178,-12.00289917
288,DUSP4,0.071896158,-11.46461678
289,CEACAM6,0.052310511,9.397522926
290,IRX3,0.058961954,-13.22841454
291,OLFML3,0.059801441,-9.772930145
292,NMU,0.049452551,-1.468280554
293,QPCT,0.070676662,-1.105561256
294,HTRA1,0.033993475,-16.71852875
295,PMP22,0.056297749,-12.20632839
296,ZIC1,0.047322489,7.964198589
297,NPNT,0.065410011,3.258196354
298,STC2,0.056941506,-6.1086483
299,RAI14,0.044115227,-13.13886356
300,TNNT1,0.053174138,1.606666803
301,TMEM200A,0.053070199,-5.047789574
302,HBG1 /// HBG2,0.071789689,9.740534782
303,CA12,0.05669529,-13.66305542
304,IGKC,0.083003871,-1.501386404
305,PDE4B,0.050189633,-8.113354683
306,IGFBP4,0.044796575,-15.50337219
307,PNMAL1,0.054669231,-12.49907398
308,CORO1A,0.048068766,-9.644347191
309,CRYAB,0.058351837,-8.990932465
310,BIN2,0.045690812,8.174073219
311,PXDN,0.054068279,-11.97529888
312,CD48,0.075553529,-8.134967804
313,ODZ2,0.057848606,7.038894653
314,FGFR2,0.04998482,-0.101777367
315,IQGAP2,0.075029962,-10.15283394
316,COL5A1,0.049123876,-11.41060066
317,SOX9,0.071368925,-12.35942745
318,PLAT,0.047621302,-15.32806301
319,CDK1,0.05141478,-10.89312935
320,BEND4,0.053327382,9.649176598
321,PLBD1,0.050733,-10.58868408
322,KRT5,0.078034252,15.80887413
323,NR2F1,0.04903999,-14.06551743
324,CXCL3,0.054739576,1.6026932
325,NQO1,0.062917933,-15.46224594
326,SERPING1,0.042173631,-13.42091179
327,CARD16 /// CASP1,0.050798953,-9.033275604
328,KRT8,0.040599868,-14.03498936
329,TJP1,0.050065175,-12.63300896
330,CRNDE,0.064944543,-13.87381744
331,LOC100506621,0.055239722,-0.086515307
332,COL11A1,0.068453133,9.281860352
333,BEX1,0.061805557,-14.39150047
334,METTL7A,0.048051961,-16.07670975
335,PPIC,0.050836343,-15.26603985
336,TXNIP,0.043599695,-12.89867878
337,TMEM98,0.062299818,-14.53463173
338,PBK,0.049531225,-11.9757061
339,C1S,0.069141962,13.1762104
340,LEPREL1,0.056035846,-6.410200119
341,NKG7,0.066633791,16.41020775
342,TPD52L1,0.050666451,-12.35215759
343,NFIB,0.038476478,-12.97512531
344,CFH,0.056372102,0.146367043
345,MAGEA12,0.065698974,7.648367882
346,TCEAL7,0.113006547,0.10616219
347,NEFL,0.055030715,9.469288826
348,LCP1,0.039614521,-12.45144272
349,BLNK,0.07075274,8.564180374
350,TNFAIP6,0.08144699,-1.254496694
351,TFAP2C,0.070265293,8.523647308
352,KIAA0101,0.044953302,-11.88685799
353,FAT1,0.065252759,-11.27362061
354,SERPINH1,0.057077862,-16.29499435
355,IL7R,0.065450847,-4.959758759
356,Sep-10,0.052907307,-11.58290863
357,GATA6,0.062489346,-10.8580761
358,FABP1,0.059933145,12.95879745
359,HMCN1,0.052594043,12.47442818
360,ZEB2,0.054187968,-3.285482168
361,FRMD6,0.05045893,-13.64540958
362,CLDN7,0.052083593,2.174643755
363,NID2,0.065699913,-5.917363167
