1778,4718,4711,541,1238
213,3063,2049,3639,1493
2866,1072,372,4845,1915
1529,3066,5508,4264,2878
5013,5299,5133,474,2936
3986,1778,1974,352,213
4847,4969,3129,5117,2832
5667,2652,3398,1082,330
2895,3886,3017,517,3639
885,3200,15,5628,4047
3571,3411,1730,4698,553
2805,1291,2760,2732,4231
2155,2594,1874,1342,4459
2443,2789,3063,3923,2866
4619,4454,3004,3217,1825
4897,1531,3609,2353,989
3245,4275,5504,93,1373
1718,4447,2807,1101,1259
2776,1378,2441,5837,4465
4706,3056,3816,2721,1337
1270,5349,1239,1529,2353
2747,1477,3420,1012,3636
1974,2570,4917,2615,5739
5270,1750,3054,4975,3012
5136,1499,4728,370,2548
3450,3623,1029,3590,994
4954,865,2399,232,2519
5634,3889,2070,5152,1860
4281,5013,3511,553,5334
553,4355,4242,4798,4589
642,4313,1342,4459,5815
3609,4757,5962,3056,5207
5662,5798,1709,5141,5248
580,4788,5117,2494,2599
3400,1456,1474,1072,5084
4637,2706,1173,1069,5374
2090,5542,5698,1493,4878
4395,4061,3814,3607,3654
1861,5662,4654,147,4279
1690,3733,5695,914,5299
4806,3097,1375,2568,5080
4387,2353,2866,2416,5728
5374,4012,4056,5312,2620
3639,5987,2741,4355,3054
4358,5627,1137,2958,3609
1651,5235,5104,5249,1914
4869,539,1316,1135,700
1239,5631,5706,1267,3889
465,2408,939,3061,1974
4020,2012,57,2439,5834
1267,3647,2518,4706,3189
3831,3217,2103,4125,3004
3928,2485,3635,242,1923
994,1709,145,94,5197
3282,4479,989,994,4706
3379,1741,2409,1452,3732
2861,404,4642,3717,5736
2933,3933,2289,1883,1189
1419,3554,1884,1901,539
3470,1670,4706,2740,5574
6,5605,2570,3321,1582
2997,2492,3832,5022,3017
4977,3923,3568,2070,2505
4184,1740,2509,2620,1558
1493,2399,4804,761,2927
57,5659,2511,4954,5000
2505,5807,3748,2804,4125
2807,4123,1907,5605,3886
4056,5654,1651,2310,343
180,5990,2148,3475,3143
1882,860,5667,2103,5542
2604,219,4661,22,5915
4283,5989,2989,4242,5672
2927,4172,2300,3145,4123
4148,1038,1690,1539,2320
5047,2190,5197,4197,5089
5977,93,4714,1756,5370
5251,4710,976,3246,3450
2990,2007,865,2277,1884
5791,402,2191,3886,5717
1398,1712,4754,1778,1741
192,2776,1372,2948,5382
3818,1221,5553,5440,5540
2147,2010,49,5153,3052
2051,1769,3208,52,2724
2480,5312,2895,1531,2089
3246,4056,3732,4076,1473
3572,2494,1473,4201,4320
4172,3054,1860,5987,2635
3145,3951,5509,2444,3126
4360,1756,5659,3455,1690
5440,3717,5382,5299,3113
5468,2768,2071,3637,3246
1028,617,3946,4664,2740
3017,2416,493,2155,2339
3889,1841,5209,213,3511
472,5837,5605,720,4184
5508,334,2450,3787,1228
2522,3986,4051,5672,3282
1400,2615,1531,4493,1651
2637,4711,4757,2950,5733
1473,2940,2443,3054,1718
2321,787,370,2635,4230
5509,1278,2147,2148,955
4062,2525,3207,3818,373
4868,3116,1300,1358,923
5235,3741,431,4544,1999
4374,3398,3455,1207,3745
2905,3571,1389,3063,2155
2007,3240,4020,4697,4029
4975,726,2990,3586,1581
2103,3818,3554,1301,4014
1137,4845,4635,3400,1769
2089,5585,1996,3189,3208
5333,553,4281,5382,2103
3208,3705,2571,3569,4763
3463,3336,899,2924,3951
2191,4374,5248,2548,5516
4498,2090,2738,4080,1649
1731,1146,1478,5508,2443
5542,5777,3246,4619,754
2635,1478,1238,2045,4754
2601,5240,1580,567,5430
5299,2262,5457,4056,3393
4459,3052,2340,539,1883
4355,5374,1999,617,2352
3747,2522,4465,1874,5936
3531,2866,4977,5769,1342
4855,2628,5736,580,2090
1582,689,1038,1169,3586
4689,5133,4101,3793,4928
1844,3851,5033,2589,286
5007,1926,1558,4868,5583
745,4818,1938,3100,2509
4099,2397,4076,2724,3207
3217,1974,2098,288,2673
964,2895,637,2157,2604
