,gene_names,weighted_max,weighted_sum
199,MX1,0.06720193475484848,-11.260842323303223
200,CD163,0.05386987701058388,13.482763290405273
201,RNF128,0.059746261686086655,10.134599685668945
202,ZNF548,0.04567296802997589,-19.115966796875
203,CFH /// CFHR1,0.04957517236471176,-3.1635582447052
204,RGS4,0.051993079483509064,-4.125360488891602
205,LAMA4,0.052534230053424835,1.3153443336486816
206,DKK3,0.050588831305503845,1.8301985263824463
207,ESRP1,0.06922183185815811,0.7638829946517944
208,CXCR4,0.047917772084474564,-11.649211883544922
209,SNCA,0.07550433278083801,-8.185274124145508
210,GATA3,0.061940997838974,13.65829086303711
211,GPM6B,0.05804057791829109,-3.5483903884887695
212,KDM5D,0.06594828516244888,-2.4756712913513184
213,CD53,0.03818569332361221,-14.630688667297363
214,FCER1G,0.05295683443546295,8.344709396362305
215,MYOF,0.04593287780880928,-11.811717987060547
216,IGFBP1,0.053505346179008484,12.687397003173828
217,SELL,0.05418276786804199,-2.7125957012176514
218,COL15A1,0.055276867002248764,8.189887046813965
219,TAGLN,0.05851435661315918,-7.093459129333496
220,CLU,0.045276939868927,-12.99537467956543
221,TNFSF10,0.07005340605974197,-7.118744850158691
222,SERPINA3,0.06430000811815262,-0.34978505969047546
223,RND3,0.04992799088358879,-10.463817596435547
224,ITGB2,0.0681975707411766,-1.351259469985962
225,RAB25,0.06768420338630676,2.6550140380859375
226,RTN1,0.050826508551836014,7.579955577850342
227,SPOCK1,0.06065290793776512,-4.474114418029785
228,CNRIP1,0.06887480616569519,1.782179355621338
229,FOXG1,0.0663088783621788,10.399456024169922
230,LY75,0.06392133235931396,1.9844964742660522
231,RASGRP1,0.05098327249288559,-1.0711989402770996
232,G0S2,0.07793868333101273,-9.02975845336914
233,GPX8,0.06192142143845558,-11.390371322631836
234,RGS1,0.061087559908628464,8.88917064666748
235,WNT5A,0.05475802719593048,-5.417411804199219
236,S100A2,0.06153704971075058,-3.8194198608398438
237,PRSS23,0.05660800263285637,-10.750609397888184
238,NTN4,0.06559772044420242,-7.051208019256592
239,ASPM,0.06009765714406967,-8.498932838439941
240,GABBR2,0.05876220762729645,14.789528846740723
241,KRT6A,0.05294934660196304,11.093228340148926
242,GALNT3,0.05824149772524834,-10.925186157226562
243,RCSD1,0.060531169176101685,1.369619369506836
244,ISG20,0.05798731744289398,-11.503646850585938
245,GPR183,0.05393626540899277,2.5351827144622803
246,HPGD,0.06392282992601395,9.925389289855957
247,ELTD1,0.06731340289115906,12.78488826751709
248,IFI16,0.054375000298023224,-10.179664611816406
249,BASP1,0.05504806339740753,-11.346153259277344
250,PROM1,0.05602527782320976,9.355218887329102
251,PRKCB,0.07614371180534363,0.11378103494644165
252,PPAP2B,0.07282284647226334,-8.813098907470703
253,RRM2,0.055061835795640945,-10.483072280883789
254,AMIGO2,0.06092456728219986,-11.732484817504883
255,MMP3,0.05210229381918907,14.017507553100586
256,TIMP3,0.04852493852376938,-10.650392532348633
257,SULF2,0.04958956688642502,-10.42771053314209
258,SRPX,0.06196391209959984,-5.854832649230957
259,LOX,0.06076484173536301,0.02153193950653076
260,LY96,0.06962209939956665,-2.1307225227355957
261,PTPRZ1,0.05745699256658554,9.405458450317383
262,GPX3,0.06888778507709503,-10.951276779174805
263,HOXA10 /// HOXA9,0.06086571142077446,9.983312606811523
264,LDB2,0.06766406446695328,5.396651268005371
265,S100A12,0.0789862871170044,7.078158378601074
266,EBF1,0.056627754122018814,1.133638858795166
267,IL1R1,0.06735548377037048,-9.117681503295898
268,CTSS,0.06027404963970184,4.470860958099365
269,DOCK8,0.04831807687878609,-0.8765798807144165
270,CPVL,0.06657284498214722,-8.799291610717773
271,CAV2,0.06463488936424255,-10.089097023010254
272,LGALS1,0.03958781436085701,-13.460594177246094
273,PTGS2,0.05410187318921089,12.103296279907227
