index,gene_names,weighted_max,weighted_sum,abs_sum
3613,IL1RAP,0.111928791,-0.617087364,0.617087364
3339,SHROOM2,0.084745608,-0.621431231,0.621431231
3824,ATAD3A /// ATAD3B,0.122689396,0.621749043,0.621749043
4293,C5,0.170903981,-0.629221991,0.629221991
3809,ASF1B,0.14262706,0.630436897,0.630436897
4736,SPINK6,0.098504134,-0.634943008,0.634943008
5321,LOC338620,-0.034804173,-0.635919809,0.635919809
4724,PRKX,0.133973114,0.638048887,0.638048887
2771,IL24,0.092347853,-0.63969636,0.63969636
5081,REPS1,0.090401106,-0.647279799,0.647279799
1140,COL9A3,0.085336253,0.650517344,0.650517344
249,BASP1,0.080798477,-0.650985718,0.650985718
3471,LIN7A,0.049625173,0.651227176,0.651227176
3661,TGOLN2,0.056787021,-0.652680397,0.652680397
5600,ZNF540,0.165598989,-0.655970573,0.655970573
768,GUCY1A3,0.111751266,0.661754549,0.661754549
5444,CD163L1,0.196247123,0.662007719,0.662007719
4200,CHD7,0.11853762,-0.665187359,0.665187359
2020,CPNE8,0.288348705,-0.665901512,0.665901512
5930,RRBP1,0.160333127,-0.666182995,0.666182995
842,EPS8,0.135984764,-0.681898355,0.681898355
1437,LIMS3 /// LIMS3-LOC440895 /// LOC440895,0.145741507,0.683315277,0.683315277
944,RCAN2,0.084235035,-0.685997009,0.685997009
690,KDELR3,0.112419806,-0.686981916,0.686981916
1641,GPAT2,0.249066129,0.691840172,0.691840172
5185,TDRD6,0.088874497,0.692107677,0.692107677
217,SELL,0.15479967,-0.703223228,0.703223228
1272,TRD@,0.150378019,0.703773022,0.703773022
4041,B3GNT5,-0.040189356,0.708551884,0.708551884
181,KRT14,0.118984587,-0.717550278,0.717550278
1534,FMNL2,0.067673229,-0.724238873,0.724238873
1902,BCAT1,0.103124596,-0.727639198,0.727639198
3263,AGAP1,0.120752133,0.729093909,0.729093909
4599,TMEM220,0.161143452,-0.733745098,0.733745098
3206,ANG,0.089994609,-0.737959862,0.737959862
81,C15orf48,0.114321411,0.742610931,0.742610931
4219,SERPINC1,0.07380598,0.742902756,0.742902756
1211,CYP4X1,0.281250603,0.744606972,0.744606972
5043,HIST1H2AD /// HIST1H3D,0.066626579,0.745672703,0.745672703
5735,GOLGA8A /// GOLGA8B,0.319346935,0.753647685,0.753647685
140,MNDA,0.097760484,0.754686356,0.754686356
1742,LIF,0.062322959,-0.756204367,0.756204367
505,TGFB1I1,0.113956653,-0.757812262,0.757812262
