"Approved.Symbol","Ensembl.ID.supplied.by.Ensembl.","index"
"CLK1","ENSG00000013441",335
"POLR3B","ENSG00000013503",336
"ANGEL1","ENSG00000013523",337
"RNF14","ENSG00000013561",338
"DNASE1L1","ENSG00000013563",339
"DDX11","ENSG00000013573",340
"HEBP1","ENSG00000013583",341
"GPRC5A","ENSG00000013588",342
"MAMLD1","ENSG00000013619",343
"CD6","ENSG00000013725",344
"TACC3","ENSG00000013810",345
"UFL1","ENSG00000014123",346
"POLA2","ENSG00000014138",347
"ZC3H3","ENSG00000014164",348
"CAPN1","ENSG00000014216",349
"ACPP","ENSG00000014257",350
"MDH1","ENSG00000014641",351
"SLC30A9","ENSG00000014824",352
"MTMR11","ENSG00000014914",353
"COX15","ENSG00000014919",354
"CCDC88C","ENSG00000015133",355
"YAF2","ENSG00000015153",356
"ZMYND11","ENSG00000015171",357
"WAS","ENSG00000015285",358
"DPEP1","ENSG00000015413",359
"BID","ENSG00000015475",360
"MATR3","ENSG00000015479",361
"NPC1L1","ENSG00000015520",362
"XYLT2","ENSG00000015532",363
"RGPD5","ENSG00000015568",364
"STMN4","ENSG00000015592",365
"NUDCD3","ENSG00000015676",366
"ISL1","ENSG00000016082",367
"CHDH","ENSG00000016391",368
"IL20RA","ENSG00000016402",369
"CLCA1","ENSG00000016490",370
"CLCA4","ENSG00000016602",371
"GLT8D1","ENSG00000016864",372
"ATP2C1","ENSG00000017260",373
"IGF1","ENSG00000017427",374
"SLC38A5","ENSG00000017483",375
"RALBP1","ENSG00000017797",376
"RUFY3","ENSG00000018189",377
"CNTN1","ENSG00000018236",378
"SLC11A1","ENSG00000018280",379
"WWTR1","ENSG00000018408",380
"AGPS","ENSG00000018510",381
"CXorf56","ENSG00000018610",383
"ATP1A2","ENSG00000018625",384
"TTC27","ENSG00000018699",385
"ZNF582","ENSG00000018869",386
"VSIG2","ENSG00000019102",387
"PHLDB1","ENSG00000019144",388
"MARCO","ENSG00000019169",389
"CYP24A1","ENSG00000019186",390
"PRDM11","ENSG00000019485",391
"SYT13","ENSG00000019505",392
"SNAI2","ENSG00000019549",393
"CD74","ENSG00000019582",394
"HGF","ENSG00000019991",395
"ZRANB1","ENSG00000019995",396
"NCDN","ENSG00000020129",397
"ADGRA2","ENSG00000020181",398
"ZFP64","ENSG00000020256",400
"MNAT1","ENSG00000020426",401
"SAMD4A","ENSG00000020577",402
"RUNX3","ENSG00000020633",403
"MRE11","ENSG00000020922",404
"PLEKHB1","ENSG00000021300",405
"SERPINB1","ENSG00000021355",406
"CYP3A43","ENSG00000021461",407
"SLC7A9","ENSG00000021488",408
"SPAST","ENSG00000021574",409
"NRXN3","ENSG00000021645",410
"OSBPL5","ENSG00000021762",411
"AQR","ENSG00000021776",412
"CPS1","ENSG00000021826",413
"C8B","ENSG00000021852",414
"FHL1","ENSG00000022267",415
"RTF2","ENSG00000022277",416
"GABRA1","ENSG00000022355",417
"NLRP2","ENSG00000022556",418
"SLC45A4","ENSG00000022567",419
"RNF10","ENSG00000022840",420
"ZNF839","ENSG00000022976",421
"ZDHHC6","ENSG00000023041",422
"GRAMD1B","ENSG00000023171",423
"RNH1","ENSG00000023191",424
"NDUFS1","ENSG00000023228",425
"RB1CC1","ENSG00000023287",426
"ERP44","ENSG00000023318",427
"ALAS1","ENSG00000023330",428
"BIRC3","ENSG00000023445",429
"AKAP11","ENSG00000023516",430
"GLRX2","ENSG00000023572",431
"SNAPC1","ENSG00000023608",432
"DERA","ENSG00000023697",433
"STRAP","ENSG00000023734",434
"ABCC2","ENSG00000023839",435
"DEF6","ENSG00000023892",436
"PLEKHO1","ENSG00000023902",437
"GCLM","ENSG00000023909",438
"UBR2","ENSG00000024048",439
"EHD2","ENSG00000024422",440
"DEPDC1","ENSG00000024526",441
"CCDC28A","ENSG00000024862",442
"RRAGD","ENSG00000025039",443
"HSF2","ENSG00000025156",444
"PHF20","ENSG00000025293",445
"HSD17B6","ENSG00000025423",446
"NR1H3","ENSG00000025434",447
"TYMP","ENSG00000025708",448
"NCAPH2","ENSG00000025770",449
"TOMM34","ENSG00000025772",450
"SEC63","ENSG00000025796",451
"KPNA6","ENSG00000025800",452
"VIM","ENSG00000026025",453
"FAS","ENSG00000026103",455
"RNASET2","ENSG00000026297",456
"CD44","ENSG00000026508",457
"KCNG1","ENSG00000026559",458
"AGPAT4","ENSG00000026652",459
"SLAMF7","ENSG00000026751",460
"BTN3A1","ENSG00000026950",461
"MIPEP","ENSG00000027001",462
"PRKCH","ENSG00000027075",463
"INSRR","ENSG00000027644",464
"IFNGR1","ENSG00000027697",465
"B4GALT7","ENSG00000027847",466
"SH2D2A","ENSG00000027869",467
"VRK2","ENSG00000028116",468
"TNFRSF1B","ENSG00000028137",469
"VEZT","ENSG00000028203",470
"POU2F2","ENSG00000028277",471
"BRD9","ENSG00000028310",472
"SNX1","ENSG00000028528",473
"TBPL1","ENSG00000028839",474
"ARNTL2","ENSG00000029153",475
"BCLAF1","ENSG00000029363",476
"SLC39A9","ENSG00000029364",477
"ANK1","ENSG00000029534",478
"IBSP","ENSG00000029559",479
"TFB1M","ENSG00000029639",480
"RABEP1","ENSG00000029725",481
"HMGB3","ENSG00000029993",482
"NUP160","ENSG00000030066",483
"BAK1","ENSG00000030110",484
"MUSK","ENSG00000030304",485
"IKZF2","ENSG00000030419",486
"GRN","ENSG00000030582",487
"FAM13B","ENSG00000031003",488
"ARHGAP31","ENSG00000031081",489
"CENPQ","ENSG00000031691",490
"SARS","ENSG00000031698",491
"RANBP3","ENSG00000031823",492
"ARID4A","ENSG00000032219",493
"EIPR1","ENSG00000032389",494
"PNPLA6","ENSG00000032444",495
"IFT88","ENSG00000032742",496
"ALG1","ENSG00000033011",497
"ZCCHC8","ENSG00000033030",498
"ABCF2","ENSG00000033050",499
"CHPF2","ENSG00000033100",500
"LRRC7","ENSG00000033122",501
"FUT8","ENSG00000033170",502
"UBA6","ENSG00000033178",503
"GAB2","ENSG00000033327",504
"ATP6V0A1","ENSG00000033627",505
"PIAS1","ENSG00000033800",506
"SLC4A7","ENSG00000033867",507
"APBA2","ENSG00000034053",508
"MAP2K3","ENSG00000034152",509
"EFCAB1","ENSG00000034239",510
"TMSB10","ENSG00000034510",511
"ASTE1","ENSG00000034533",512
"RNF19A","ENSG00000034677",513
"PEX3","ENSG00000034693",514
"GABARAPL2","ENSG00000034713",515
"MYOC","ENSG00000034971",516
"SH3YL1","ENSG00000035115",517
"FAM136A","ENSG00000035141",518
"VCL","ENSG00000035403",519
"DEPDC1B","ENSG00000035499",520
"DAPK2","ENSG00000035664",521
"NSMAF","ENSG00000035681",522
"ADSS","ENSG00000035687",523
"STAP1","ENSG00000035720",524
"TIMP2","ENSG00000035862",525
"RFC1","ENSG00000035928",526
"TBC1D23","ENSG00000036054",527
"CUL3","ENSG00000036257",528
"MYOM2","ENSG00000036448",529
"OTC","ENSG00000036473",530
"CYP46A1","ENSG00000036530",531
"ZZZ3","ENSG00000036549",532
"SLC18A1","ENSG00000036565",533
"USP2","ENSG00000036672",534
"CASR","ENSG00000036828",535
"TUBG2","ENSG00000037042",536
"RPL26L1","ENSG00000037241",537
"FLT4","ENSG00000037280",538
"NSUN2","ENSG00000037474",539
"FBXO42","ENSG00000037637",540
"MFAP3","ENSG00000037749",541
"MRI1","ENSG00000037757",542
"METTL1","ENSG00000037897",543
"HOXC8","ENSG00000037965",544
"AGA","ENSG00000038002",545
"PI4K2B","ENSG00000038210",546
"BOD1L1","ENSG00000038219",547
"MAT2B","ENSG00000038274",548
"TLL1","ENSG00000038295",549
"EDC4","ENSG00000038358",550
"TRIO","ENSG00000038382",551
"VCAN","ENSG00000038427",552
"CLEC16A","ENSG00000038532",553
"MSR1","ENSG00000038945",554
